,familysize,hh
2111000307,7,2111000307
1133002505,7,1133002505
4051000207,7,4051000207
4043001203,7,4043001203
3183000211,7,3183000211
3093000203,7,3093000203
1113000504,7,1113000504
2081000106,7,2081000106
3073001808,7,3073001808
2023000702,7,2023000702
3103300051105,7,3103300051105
4103003802,7,4103003802
2073000602,7,2073000602
30110300050208,7,30110300050208
2043001403,7,2043001403
3021000212,7,3021000212
2013000402,7,2013000402
3213002308,7,3213002308
4063001301,7,4063001301
1133002506,7,1133002506
1073002004,7,1073002004
1053002306,7,1053002306
2205300300802,7,2205300300802
1093000408,7,1093000408
1021002905,6,1021002905
1073001611,6,1073001611
30309300010304,6,30309300010304
4143000309,6,4143000309
4133000507,6,4133000507
3183000210,6,3183000210
307300170804,6,307300170804
4043000607,6,4043000607
4103003809,6,4103003809
1021000108,6,1021000108
310100010805,6,310100010805
1033000307,6,1033000307
3043001403,6,3043001403
304100020707,6,304100020707
1081000214,6,1081000214
4033000711,6,4033000711
30305100010204,6,30305100010204
4153000402,6,4153000402
4023003003,6,4023003003
4023001609,6,4023001609
4033000709,6,4033000709
4043001004,6,4043001004
2043001406,6,2043001406
211300070906,6,211300070906
4143000307,6,4143000307
2123001108,6,2123001108
222300221007,6,222300221007
106300051007,6,106300051007
3103000906,6,3103000906
3163001601,6,3163001601
3173001006,6,3173001006
3083000412,6,3083000412
222300260301,6,222300260301
3073001208,6,3073001208
109300040903,6,109300040903
3183000306,6,3183000306
2123000810,6,2123000810
4023002506,6,4023002506
310300120102,6,310300120102
2033000804,6,2033000804
2073000609,6,2073000609
2073000604,6,2073000604
4063001006,6,4063001006
406100030909,6,406100030909
2021000103,6,2021000103
4063000806,6,4063000806
2051000109,6,2051000109
4193003504,6,4193003504
4143000510,6,4143000510
3023000801,6,3023000801
1073002009,6,1073002009
1103000705,6,1103000705
1083002006,6,1083002006
402300251005,6,402300251005
2033000807,6,2033000807
3111000106,6,3111000106
1153002701,6,1153002701
3173001105,6,3173001105
2041000904,6,2041000904
1083000610,6,1083000610
2202300050903,6,2202300050903
2304100070802,6,2304100070802
4023003002,6,4023003002
1053000409,6,1053000409
2041000603,6,2041000603
3073001809,6,3073001809
2153000404,6,2153000404
1041000209,6,1041000209
1041000207,6,1041000207
4073000502,6,4073000502
4053001009,6,4053001009
4071000206,6,4071000206
2153000704,6,2153000704
4143000502,6,4143000502
2033001806,6,2033001806
2123001302,6,2123001302
1071000201,6,1071000201
3203002705,6,3203002705
3073002501,6,3073002501
4193003206,6,4193003206
3043000909,6,3043000909
1153002704,6,1153002704
2153000609,6,2153000609
2053001307,6,2053001307
2051000111,6,2051000111
1053002608,6,1053002608
1013000212,6,1013000212
4043001009,6,4043001009
1053001904,6,1053001904
1103000709,6,1103000709
2111000308,6,2111000308
1021001701,6,1021001701
4063001001,6,4063001001
2053003007,6,2053003007
3033003301,6,3033003301
4023001602,6,4023001602
3023000501,6,3023000501
3213003007,6,3213003007
3023001313,6,3023001313
1153000410,6,1153000410
3021000207,6,3021000207
2153000605,6,2153000605
