,sex,age,father_educ,father_ocup,ethnic,bednet,hh,writeread,classeduc,illdays
1662,1.0,46.0,,,12.0,0.0,H06411-04-01,0.0,16.0,
1676,1.0,42.0,51.0,5.0,17.0,0.0,H06601-04-01,0.0,51.0,
1677,2.0,45.0,,,17.0,1.0,H06602-04-01,0.0,33.0,
1679,1.0,39.0,,10.0,32.0,0.0,H06603-04-01,0.0,17.0,7.0
1692,2.0,92.0,,,17.0,0.0,H06604-04-01,1.0,,30.0
1695,1.0,84.0,,,26.0,,H06605-04-01,1.0,,
1698,1.0,38.0,71.0,5.0,17.0,1.0,H06606-04-01,0.0,33.0,
1704,2.0,89.0,,,17.0,,H06607-04-01,1.0,,
1711,2.0,37.0,16.0,19.0,32.0,1.0,H06608-04-01,0.0,17.0,4.0
1721,1.0,44.0,,19.0,17.0,1.0,H06609-04-01,0.0,61.0,
1726,2.0,67.0,,,17.0,1.0,H06701-04-01,0.0,14.0,30.0
1731,1.0,31.0,17.0,21.0,28.0,1.0,H06702-04-01,0.0,15.0,
1740,2.0,54.0,,,13.0,0.0,H06703-04-01,0.0,16.0,18.0
1745,2.0,45.0,,,17.0,1.0,H06704-04-01,0.0,14.0,7.0
1750,1.0,67.0,,,30.0,1.0,H06706-04-01,1.0,,10.0
1758,1.0,68.0,,,17.0,1.0,H06707-04-01,0.0,21.0,7.0
1763,1.0,28.0,,19.0,17.0,1.0,H06707-04-02,0.0,32.0,
1766,1.0,67.0,,,16.0,0.0,H06708-04-01,1.0,,2.0
1768,2.0,38.0,,,17.0,1.0,H06709-04-01,0.0,32.0,
1773,2.0,69.0,,,17.0,1.0,H06710-04-01,0.0,17.0,18.0
1777,2.0,33.0,,,17.0,1.0,H06801-04-01,0.0,15.0,7.0
1783,1.0,29.0,,,30.0,1.0,H06802-04-01,0.0,35.0,3.0
1789,2.0,63.0,,,17.0,1.0,H06803-04-01,1.0,,7.0
1797,2.0,39.0,21.0,19.0,17.0,1.0,H06805-04-01,0.0,51.0,5.0
1798,2.0,49.0,,,17.0,1.0,H06806-04-01,0.0,13.0,12.0
1804,2.0,53.0,,,17.0,1.0,H06807-04-01,0.0,16.0,30.0
1811,2.0,43.0,,,32.0,1.0,H06810-04-01,0.0,16.0,20.0
1815,1.0,52.0,,,17.0,1.0,H06810-04-02,1.0,16.0,
1822,2.0,34.0,,,28.0,0.0,H06901-04-01,0.0,16.0,
1829,2.0,51.0,,,57.0,1.0,H06902-04-01,1.0,,
1837,1.0,43.0,,,57.0,1.0,H06903-04-01,0.0,33.0,
1847,2.0,94.0,,,17.0,0.0,H06906-04-01,1.0,12.0,10.0
1848,2.0,65.0,,,17.0,1.0,H06908-04-01,0.0,13.0,4.0
1851,1.0,56.0,,,31.0,0.0,H06909-04-01,0.0,51.0,21.0
1854,2.0,45.0,,,34.0,,H06911-04-01,0.0,11.0,
1860,2.0,28.0,,,57.0,0.0,H06911-04-03,0.0,51.0,
1864,2.0,46.0,,,17.0,1.0,H06914-04-01,0.0,16.0,6.0
1870,1.0,49.0,,,35.0,1.0,H07002-04-02,0.0,14.0,
1874,1.0,39.0,,,17.0,1.0,H07003-04-01,0.0,15.0,7.0
1880,1.0,56.0,,,17.0,1.0,H07007-04-01,0.0,17.0,6.0
