hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
H04001-04-01,5243200.0,9090200.0,823200.0,823200.0,3458000.0,3458000.0,962000.0,962000.0,2828800.0,2414400.0,3847000.0
H04002-04-01,5590500.0,11870500.0,1917000.0,3641000.0,2045900.0,2045900.0,1627600.0,1627600.0,2398500.0,3192000.0,6280000.0
H04003-04-01,6081200.0,6809100.0,536000.0,536000.0,3369000.0,3369000.0,2656200.0,2656200.0,3676400.0,2404800.0,727900.0
H04003-04-03,3738800.0,3864800.0,0.0,0.0,3738800.0,3738800.0,0.0,0.0,1820000.0,1918800.0,126000.0
H04004-04-01,3600100.0,3729100.0,539200.0,539200.0,2582500.0,2582500.0,1558400.0,1558400.0,1842100.0,1758000.0,129000.0
H04005-04-01,3529600.0,3716600.0,816400.0,816400.0,1922800.0,1922800.0,790400.0,790400.0,2438800.0,1090800.0,187000.0
H04006-04-01,1660900.0,1663400.0,134400.0,134400.0,1526500.0,1526500.0,60000.0,60000.0,1327300.0,333600.0,2500.0
H04007-04-01,1609600.0,1712600.0,279200.0,369200.0,789600.0,789600.0,600800.0,600800.0,1019200.0,590400.0,103000.0
H04009-04-01,1416800.0,1431800.0,694000.0,694000.0,722800.0,722800.0,0.0,0.0,852800.0,564000.0,15000.0
H04010-04-01,5500800.0,7176800.0,684000.0,684000.0,2612000.0,2612000.0,2684800.0,2684800.0,3775200.0,1725600.0,1676000.0
H04010-04-02,4101600.0,4831600.0,1138800.0,1138800.0,2962800.0,2962800.0,0.0,0.0,2449200.0,1652400.0,730000.0
H04011-04-01,14549200.0,16936200.0,949800.0,1139800.0,11020200.0,11020200.0,4979200.0,4979200.0,4981600.0,9567600.0,2387000.0
H04011-04-02,2655600.0,2888600.0,1205200.0,1205200.0,1450400.0,1450400.0,0.0,0.0,1076400.0,1579200.0,233000.0
H04201-04-01,8917200.0,9661200.0,1201200.0,1411200.0,1928400.0,1928400.0,6507600.0,6507600.0,6817200.0,2100000.0,744000.0
H04202-04-01,6910300.0,8007200.0,0.0,0.0,6598300.0,6598300.0,312000.0,312000.0,3253900.0,3656400.0,1096900.0
H04203-04-01,4506800.0,4912800.0,216000.0,336000.0,2931000.0,2931000.0,1839800.0,1853800.0,2974400.0,1532400.0,406000.0
H04204-04-01,3683800.0,4117600.0,204000.0,204000.0,2138200.0,2138200.0,2061600.0,2061600.0,2399800.0,1284000.0,433800.0
H04205-04-01,8733400.0,8865400.0,156000.0,156000.0,8265400.0,8265400.0,1032000.0,1032000.0,4420000.0,4313400.0,132000.0
H04206-04-01,1243200.0,1470500.0,174000.0,174000.0,1012000.0,1012000.0,417200.0,417200.0,686400.0,556800.0,227300.0
H04207-04-01,12142200.0,12572700.0,6204000.0,6204000.0,4919000.0,4919000.0,1499200.0,1499200.0,3564600.0,8577600.0,430500.0
H04208-04-01,1764000.0,1837000.0,288000.0,288000.0,1476000.0,1476000.0,0.0,0.0,1092000.0,672000.0,73000.0
H04208-04-02,4274100.0,5410700.0,96000.0,96000.0,2155300.0,2155300.0,2142800.0,2142800.0,3209700.0,1064400.0,1136600.0
H04209-04-01,8322000.0,9454000.0,952000.0,1032000.0,4598400.0,4598400.0,3371600.0,3371600.0,4539600.0,3782400.0,1132000.0
H04210-04-01,3170200.0,3262200.0,364000.0,364000.0,2374600.0,2374600.0,431600.0,431600.0,2368600.0,801600.0,92000.0
H04501-04-01,3702200.0,4228700.0,620800.0,620800.0,3081400.0,3081400.0,0.0,0.0,2311400.0,1390800.0,526500.0
H04505-04-01,12264100.0,17845100.0,416000.0,666000.0,11848100.0,11848100.0,3600000.0,3600000.0,6787300.0,5476800.0,5581000.0
H04508-04-02,5113800.0,5982800.0,26000.0,26000.0,5087800.0,5087800.0,600000.0,600000.0,3065400.0,2048400.0,869000.0
H04508-04-03,9937200.0,13492200.0,1250400.0,1550400.0,8546400.0,8546400.0,1940400.0,1945400.0,6271200.0,3666000.0,3555000.0
H04508-04-04,6228800.0,6458800.0,120000.0,120000.0,6108800.0,6108800.0,0.0,0.0,1898000.0,4330800.0,230000.0
H04509-04-01,5558600.0,8648800.0,96000.0,96000.0,3338400.0,3338400.0,2964200.0,2964200.0,3653000.0,1905600.0,3090200.0
H04602-04-01,3993800.0,4562800.0,1675200.0,1780200.0,2058600.0,2058600.0,620000.0,620000.0,1983800.0,2010000.0,569000.0
H04603-04-01,3144600.0,3705600.0,824000.0,844000.0,1020600.0,1020600.0,1660000.0,1660000.0,1848600.0,1296000.0,561000.0
H04604-04-01,3295300.0,3395300.0,1212800.0,1232800.0,2046100.0,2046100.0,276400.0,276400.0,1608100.0,1687200.0,100000.0
H04606-04-01,3559300.0,3866300.0,512000.0,512000.0,2787300.0,2787300.0,740000.0,740000.0,1998100.0,1561200.0,307000.0
H04606-04-02,9398500.0,12943501.0,204000.0,3463001.0,5460900.0,5460900.0,3733600.0,3733600.0,8316100.0,1082400.0,3545001.0
H04607-04-01,3602900.0,6522601.0,782000.0,782000.0,2150100.0,2150100.0,730800.0,730800.0,2159300.0,1443600.0,2919701.0
H04608-04-01,4250600.0,5240600.0,720000.0,720000.0,2885800.0,2885800.0,1364800.0,1364800.0,1547000.0,2703600.0,990000.0
H04609-04-01,3748400.0,4199900.0,264000.0,264000.0,1976400.0,1976400.0,1628000.0,1628000.0,2584400.0,1164000.0,451500.0
H04610-04-01,2389600.0,2446100.0,0.0,0.0,2389600.0,2389600.0,240000.0,240000.0,1549600.0,840000.0,56500.0
H04610-04-02,1507400.0,1611900.0,24000.0,24000.0,880200.0,880200.0,603200.0,603200.0,813800.0,693600.0,104500.0
H04610-04-03,1812800.0,2109800.0,0.0,0.0,1194000.0,1194000.0,618800.0,618800.0,1352000.0,460800.0,297000.0
H04801-04-01,3923600.0,4674200.0,1060000.0,1060000.0,2863600.0,2863600.0,0.0,0.0,1601600.0,2322000.0,750600.0
H04802-04-01,2215400.0,2337400.0,339600.0,369600.0,1459800.0,1459800.0,416000.0,416000.0,1593800.0,621600.0,122000.0
H04802-04-02,1986700.0,2154700.0,336000.0,336000.0,1302300.0,1302300.0,348400.0,348400.0,1272700.0,714000.0,168000.0
H04802-04-03,6930200.0,8786200.0,0.0,0.0,6930200.0,6930200.0,0.0,0.0,3543800.0,3386400.0,1856000.0
H04803-04-02,6472600.0,6852600.0,454800.0,474800.0,5237800.0,5237800.0,3180000.0,3180000.0,2867800.0,3604800.0,380000.0
H04804-04-01,29714900.0,34779904.0,24453600.0,24663600.0,4626900.0,4626900.0,1834400.0,1834400.0,2440100.0,27274800.0,5065004.0
H04805-04-01,2470800.0,2545800.0,1344000.0,1419000.0,482000.0,482000.0,944800.0,944800.0,1232400.0,1238400.0,75000.0
H04806-04-01,7429000.0,9983000.0,900000.0,900000.0,3601400.0,3601400.0,3887600.0,3887600.0,4443400.0,2985600.0,2554000.0
H04807-04-01,572500.0,572500.0,46800.0,46800.0,395700.0,395700.0,190000.0,190000.0,430300.0,142200.0,
H04808-04-01,7548000.0,9205000.0,540000.0,540000.0,5713200.0,5713200.0,1954800.0,1954800.0,4508400.0,3039600.0,1657000.0
H04808-04-02,5630200.0,6208200.0,0.0,0.0,5630200.0,5630200.0,0.0,0.0,2758600.0,2871600.0,578000.0
H04810-04-01,2128100.0,2192100.0,308000.0,308000.0,1294900.0,1294900.0,1245200.0,1245200.0,958100.0,1170000.0,64000.0
H04903-04-01,4773700.0,4907200.0,399200.0,399200.0,3880500.0,3880500.0,554000.0,554000.0,1327300.0,3446400.0,133500.0
H04905-04-01,5946600.0,6400600.0,492000.0,562000.0,2329400.0,2329400.0,3425200.0,3425200.0,4313400.0,1633200.0,454000.0
H04907-04-01,6485600.0,6869400.0,1102800.0,1102800.0,2444800.0,2444800.0,3298000.0,3298000.0,4082000.0,2403600.0,383800.0
H04908-04-01,6890400.0,7363400.0,1280000.0,1280000.0,2469600.0,2469600.0,3380800.0,3380800.0,5460000.0,1430400.0,473000.0
H04909-04-01,4536800.0,5007300.0,378800.0,378800.0,1521600.0,1521600.0,2996400.0,2996400.0,3442400.0,1094400.0,470500.0
H04910-04-01,11393000.0,15993000.0,108000.0,108000.0,3836000.0,3836000.0,8169000.0,8169000.0,8629400.0,2763600.0,4600000.0
H04912-04-01,3582000.0,4058000.0,36000.0,36000.0,2220000.0,2220000.0,1926000.0,1926000.0,2246400.0,1335600.0,476000.0
H04913-04-01,3611200.0,3682200.0,145600.0,145600.0,2722000.0,2722000.0,1247600.0,1247600.0,1814800.0,1796400.0,71000.0
H04913-04-02,2966000.0,3022000.0,265000.0,265000.0,2087400.0,2087400.0,733600.0,733600.0,1508000.0,1458000.0,56000.0
H04913-04-03,3381600.0,3421600.0,223200.0,223200.0,2464200.0,2464200.0,814200.0,814200.0,2090400.0,1291200.0,40000.0
H04913-04-04,2947600.0,2982600.0,180000.0,180000.0,2767600.0,2767600.0,0.0,0.0,2704000.0,243600.0,35000.0
H04913-04-05,2442800.0,2705800.0,468000.0,468000.0,1413200.0,1413200.0,801600.0,801600.0,1196000.0,1246800.0,263000.0
H04913-04-06,4805600.0,5480100.0,376800.0,376800.0,3258800.0,3258800.0,1410000.0,1410000.0,2693600.0,2112000.0,674500.0
H05002-04-01,1707300.0,1832300.0,492000.0,595000.0,643300.0,643300.0,572000.0,572000.0,1088100.0,619200.0,125000.0
H05003-04-01,3493600.0,3685600.0,692000.0,692000.0,2026800.0,2026800.0,954800.0,954800.0,1924000.0,1569600.0,192000.0
