hh,own_value
2233002209.0,218400.0
2233002210.0,
2233002601.0,52000.0
2233002602.0,
2233002604.0,416000.0
2233002607.0,
2233002609.0,468000.0
2233002610.0,327600.0
2233002903.0,
2233002908.0,
2233002909.0,
2233002910.0,364000.0
2243001302.0,218400.0
2243001303.0,
2243001306.0,52000.0
2243001307.0,
2243001308.0,
2243001309.0,655200.0
2243001310.0,556400.0
3013000301.0,
3013000302.0,
3013000303.0,
3013000305.0,
3013000306.0,
3013000309.0,83200.0
3013000310.0,
3021000201.0,218400.0
3021000203.0,
3021000205.0,
3021000207.0,
3021000210.0,
3021000211.0,
3021000213.0,
3023000302.0,
3023000303.0,218400.0
3023000305.0,208000.0
3023000306.0,
3023000307.0,
3023000308.0,
3023000310.0,520000.0
3023000501.0,
3023000502.0,234000.0
3023000503.0,
3023000504.0,
3023000505.0,
3023000506.0,
3023000507.0,
3023000510.0,457600.0
3023000801.0,
3023000806.0,
3023000807.0,218400.0
3023000808.0,
3023000809.0,
3023000811.0,551200.0
3023001002.0,
3023001008.0,57200.0
3023001009.0,
3023001010.0,
3023001304.0,
3023001306.0,
3023001307.0,
3023001310.0,
3023001313.0,
3023001601.0,234000.0
3023001603.0,436800.0
3023001605.0,468000.0
3023001606.0,
3023001608.0,
3023001609.0,
3023001610.0,
3023001812.0,
3023003503.0,260000.0
3023003504.0,
3023003506.0,130000.0
3023003507.0,
3023003508.0,
3023003510.0,
3023003512.0,
3031000202.0,
3031000204.0,
3031000205.0,
3031000206.0,
3031000207.0,
3031000211.0,
3031000213.0,
3031000214.0,
3033000601.0,
3033000602.0,
3033000604.0,
3033000605.0,
3033000606.0,
3033000607.0,
3033000608.0,
3033000609.0,
3033000610.0,
3033000901.0,
3033000902.0,
3033000903.0,312000.0
3033000905.0,
3033000906.0,
3033000907.0,
3033000908.0,
3033000909.0,
3033000910.0,832000.0
3033001501.0,
3033001505.0,
3033001507.0,
3033001508.0,832000.0
3033001509.0,
3033001511.0,
3033001512.0,390000.0
3033001513.0,
3033003302.0,
3033003303.0,
3033003304.0,
3033003306.0,
3033003307.0,
3033003308.0,
3033003311.0,260000.0
3041000201.0,
3041000202.0,
3041000203.0,
3041000204.0,
3041000205.0,
3041000207.0,
3041000208.0,
3041000210.0,
3041000401.0,
3041000403.0,
3041000404.0,
3041000406.0,
3041000411.0,
3041000701.0,62400.0
3041000702.0,
3041000703.0,
3041000705.0,291200.0
3041000708.0,312000.0
3041000710.0,
3041000711.0,
3043000902.0,
3043000903.0,364000.0
3043000905.0,
3043000906.0,
3043000909.0,
3043000910.0,
3043000911.0,
3043001402.0,
3043001403.0,31200.0
3043001406.0,582400.0
3043001409.0,156000.0
3043001410.0,
3051000105.0,
3051000108.0,
3051000109.0,
3051000110.0,
3063000202.0,
3063000710.0,130000.0
3071000201.0,
3071000202.0,
3071000203.0,
3071000208.0,
3071000210.0,
3071000211.0,52000.0
3071000503.0,
3071000506.0,
3071000507.0,260000.0
3071000701.0,
3071000702.0,104000.0
3071000703.0,
3071000704.0,
3071000706.0,
3071000714.0,
3073001206.0,
3073001207.0,
3073001208.0,312000.0
3073001210.0,
3073001701.0,260000.0
3073001702.0,
3073001703.0,
3073001708.0,520000.0
3073001714.0,260000.0
